product-detail1,product-detail2,product-detail3,product-detail4,brand-name,brand-description,logo,product-price,product-name,product-description,colors,sizes,category,sub-category,age,gender
"http://images.asos-media.com/products/asos/7302228-1-blackclouddancer?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7261832-2?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7261832-3?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7261832-4?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80",JDY,"Part of the Only family, JDY put a whole new spin on wardrobe basics. Always hot on the heels of the latest trends, JDY mix and match cool prints and strong colours across a collection of super-soft jersey, low-key sweatshirts and denim jeans.",http://images.asos.com/htmlpages/160915jdy-header-ww/160915jdy-header-ww-logo.jpg,20,JDY Check Shirt,"Woven cotton
Point collar
Button placket
Two chest pockets
Oversized fit - falls generously over the body
Machine wash
100% Cotton", Black/cloud dancer,"XS
S
M
L
XL",Tops,Shirts,Adults,Woman
"http://images.asos-media.com/products/asos/7302246-1-black?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7302246-2?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7302246-3?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7302246-4?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80",JDY,"Part of the Only family, JDY put a whole new spin on wardrobe basics. Always hot on the heels of the latest trends, JDY mix and match cool prints and strong colours across a collection of super-soft jersey, low-key sweatshirts and denim jeans.",http://images.asos.com/htmlpages/160915jdy-header-ww/160915jdy-header-ww-logo.jpg,22,JDY Zip Pocket Leggings,"Smooth stretch fabric
High-rise waist
Elasticated waistband
Zipped pockets
Close-cut bodycon fit
Machine wash
80% Polyester, 15% Viscose, 5% Elastane",Black,"XS
S
M
L
XL",Bottoms,Trousers,Adults,Woman
http://images.asos-media.com/products/lipsy-foil-cami-top/7327061-1-nude?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/lipsy-foil-cami-top/7327061-2?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/lipsy-foil-cami-top/7327061-3?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/lipsy-foil-cami-top/7327061-4?$S$&wid=40&fit=constrain,Lipsy,"Renowned for their statement party dresses, London fashion brand Lipsy channel a young, fun vibe in their partywear, footwear and jewellery collections. Dedicated to delivering fashion forward styles; look out for structured cuts, bold prints and heavy embellishment, with some lines exclusive to ASOS.",http://images.asos.com/brandlogos/lipsy2015/lipsy2015.jpg,25,Lipsy Foil Cami Top,"Lightweight woven fabric
Metallic sheen finish
V-neck
Cami straps
Regular fit - true to size
Machine wash
100% Polyester",Nude,"XS
S
M
L
XL",Tops,Camis,Adults,Woman
http://images.asos-media.com/products/new-balance-cap-in-black/7178673-1-black?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/new-balance-cap-in-black/7178673-2?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/new-balance-cap-in-black/7178673-3?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/new-balance-cap-in-black/7178673-4?$S$&wid=40&fit=constrain,New Balance,"Boston based brand, New Balance began life in the 1900s as an arch support company. Developed into a range of custom-based trainers with high performance credentials, each style is numbered, placing an emphasis on the New Balance philosophy; ""not any one particular shoe"".",http://www.dobsons.com.au/cms/images/logo_images/New-Balance-Logo.jpg,15,New Balance Cap In Black,"Cotton twill
Panelled crown
Eyelet vents
Curved peak
Embroidered logo
Adjustable strap
Wipe clean
100% Cotton",Black,One Size,Accessories,Hats & Caps,Adults,Man
http://images.asos-media.com/products/new-look-mistletoe-christmas-jumper/7261659-1-red?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/new-look-mistletoe-christmas-jumper/7261659-2?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/new-look-mistletoe-christmas-jumper/7261659-3?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/new-look-mistletoe-christmas-jumper/7261659-4?$S$&wid=40&fit=constrain,New Look,"Transforming the coolest looks straight from the catwalk into wardrobe staples, New Look joins the ASOS round up of great British high street brands. Get it or regret it with its weekly drops of essential coats, statement partywear and sleek boots, from ankle to over-the-knee styles.
",http://images.asos.com/htmlpages/061016-new-look-header/061016-new-look-header-logo1.jpg,14.99,New Look Mistletoe Christmas Jumper,"Lightweight knit
Crew neck
Dropped shoulders
Contrast slogan design
Ribbed trims
Oversized fit - falls generously over the body
Machine wash
100% Acrylic",Red,"S
M
L
XL",Tops,Jumpers & Cardigans,Adults,Woman
http://images.asos-media.com/products/new-look-smart-shirt-in-white-in-slim-fit/7470143-1-white?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/new-look-smart-shirt-in-white-in-slim-fit/7470143-2?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/new-look-smart-shirt-in-white-in-slim-fit/7470143-3?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/new-look-smart-shirt-in-white-in-slim-fit/7470143-4?$S$&wid=40&fit=constrain,New Look,"New Look joins the ASOS round up of great British high street brands, showcasing the best in upcoming style and staying ahead of the game. From graphic print T-shirts, through to footwear and accessories, New Look's menswear collection takes influences from classic rebel movies and the best of effortless style.",http://images.asos.com/htmlpages/301116-new-look-mw/301116-new-look-mw-logo.jpg,17.99,New Look Smart Shirt In White In Slim Fit,"Lightweight woven fabric
Point collar
Button placket
Slim fit - cut close to the body
Machine wash
97% Cotton, 3% Elastane",White,"S
M
L
XL",Tops,Shirts,Adults,Man
"http://images.asos-media.com/products/asos/7352213-1-navy?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7352213-2?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7352213-3?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7352213-4?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80",New Look,"Offering perfectly proportioned, fast off the catwalk styles, New Look Tall joins the ASOS round up of great British high street brands that go the extra length. Engineered to fit and flatter women of 5'9 and above, the brand continues its award-winning ways with a punchy edit of skater dresses, skinny jeans and jersey basics.",http://images.asos.com/htmlpages/061016-new-look-header/061016-new-look-header-logo1.jpg,33.32,New Look Tall Distressed Ripped Skinny Jeans,,Navy,"34
36
38
40
42",Bottoms,Jeans,Adults,Woman
"http://images.asos-media.com/products/asos/7261832-1-greenpattern?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7261832-2?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7261832-3?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7261832-4?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80",New Look,"Transforming the coolest looks straight from the catwalk into wardrobe staples, New Look joins the ASOS round up of great British high street brands. Get it or regret it with its weekly drops of essential coats, statement partywear and sleek boots, from ankle to over-the-knee styles.
",http://images.asos.com/htmlpages/061016-new-look-header/061016-new-look-header-logo1.jpg,19.99,New Look Tartan Check Shirt,"Checked woven fabric
Point collar
Button placket
Chest pockets
Regular fit - true to size
Machine wash
100% Viscose",Green pattern,"XS
S
M
L
XL",Tops,Shirts,Adults,Woman
http://images.asos-media.com/products/nike-tech-fleece-camo-joggers-in-green-823499-392/6745183-1-green?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/nike-tech-fleece-camo-joggers-in-green-823499-392/6745183-2?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/nike-tech-fleece-camo-joggers-in-green-823499-392/6745183-3?$S$&wid=40&fit=constrain,http://images.asos-media.com/products/nike-tech-fleece-camo-joggers-in-green-823499-392/6745183-4?$S$&wid=40&fit=constrain,Nike,"Back in 1971 Blue Ribbons Sports introduced the concept of the Greek Goddess of Victory - Nike. Founded a year later in 1972, Nike have a long and esteemed history of creating functional yet stylish streetwear, covering everything from retro styles, to forward thinking pieces.",http://images.asos.com/htmlpages/201015-nike-header-ww/201015-nike-header-ww-logo.jpg,75,Nike Tech Fleece Camo Joggers In Green 823499-392,"Soft-touch sweat
Drawstring waistband
Branded detail
Side pockets
Fitted cuffs
Skinny fit - cut closely to the body
Machine wash
66% Cotton, 34% Polyester
Our model wears a size Medium and is 6'2”/188 cm tall
Supplier code: 823499 - 392",Green pattern,"S
M
L
XL",Bottoms,Trousers,Adults,Man
"http://images.asos-media.com/products/asos/7356022-1-white?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7356022-2?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7356022-3?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80","http://images.asos-media.com/products/asos/7356022-4?wid=769&hei=981&size=769,981&rect=0,0,769,981&qlt=80",Pitusa,"Spanish for ‘cute, funny little girl’, Pitusa gives us beachwear goals with its colour-pop dresses, bright bags and cozy capes. Focusing on high quality, Pitusa’s original, fun designs are produced in the USA and Peru under ethical working conditions.",http://images.asos.com/brandlogos/pitusa2016/pitusa2016.jpg,106.66,Pitusa Pom Pom Festival Dress,"Lightweight cotton knit
Bardot neck
Pom pom trim
Stretch waist
Regular fit - true to size
Machine wash
100% Cotton",White,"XS
S
M
L
XL",Dresses,Day Dresses,Adults,Woman
